Server_1,Server_2,Server_3,Server_4,Server_5, Server_6,Server_7,Server_8,Server_9,Server_10,Server_11,Server_12,Server_13,Server_14,Server_15,Server_16,Server_17,Server_18,Server_19,Server_20,Server_21,Server_22,Server_23,Server_24,Server_25
333,1327,132,70,456,121,102,102,84,451,577,2066,334,209,357,476,135,305,206,571,111,128,966,1682,2263
276,1084,89,23,409,34,103,115,168,430,521,2328,221,125,554,481,140,307,355,701,227,65,533,410,2639
266,1078,86,27,837,33,102,149,117,734,516,1923,221,125,358,475,132,312,137,1211,102,69,1132,229,2237
331,1342,88,24,531,35,102,105,655,635,517,1923,219,124,418,479,134,325,378,633,126,181,1459,262,2238
290,1192,143,26,434,32,102,42156,109,659,519,1957,221,169,390,488,132,600,131,719,102,90,2738,229,2250
284,1127,99,43,555,68,113,246,236,643,709,1943,218,131,372,982,132,337,1008,624,95,75,1286,221,2253
275,1081,87,24,392,33,102,393,183,649,517,1918,245,122,376,514,131,308,308,580,93,124,2057,232,2237
372,1125,85,25,391,777,103,112,116,475,520,2091,220,126,354,489,129,343,303,641,91,104,2715,246,2236
263,1422,88,25,392,33,102,196,82,676,515,2660,220,156,356,482,130,595,157,593,103,63,3398,4707,2232
315,1097,88,28,441,33,107,104,84,398,519,1897,242,152,353,484,130,308,123,754,104,68,884,236,2255
291,1486,86,25,445,34,104,121,85,370,517,4200,221,124,362,503,130,327,496,677,105,57,969,220,2236
302,1093,87,23,398,635,101,198,750,441,706,4168,218,123,699,547,166,330,267,909,124,73,905,267,2237
286,1109,88,24,398,33,103,100,119,520,518,3814,219,122,365,479,129,312,237,776,99,58,1928,275,2240
266,1106,87,23,400,33,101,103,84,433,516,2682,224,122,346,482,130,309,580,666,101,68,8917,250,2234
341,1110,85,26,393,34,103,103,92,878,519,2993,222,124,420,3812,130,333,847,597,92,80,1666,293,2238
907,1181,86,25,403,33,110,100,96,465,517,1908,222,126,592,484,129,343,306,725,131,77,1526,263,2239
271,1056,87,24,396,33,101,98,83,535,516,1934,217,126,346,490,128,311,370,782,98,57,5858,283,2234
259,1112,97,24,394,33,104,113,83,322,709,1944,219,125,350,480,129,323,295,736,105,91,4428,254,2271
285,1109,88,24,391,119,102,159,84,299,517,1943,221,123,360,476,129,310,264,625,91,5054,5215,232,2243
252,1081,95,27,390,34,100,42187,82,1206,515,1977,343,122,351,519,129,320,521,550,91,282,8845,466,2244
305,1096,183,27,390,33,101,248,83,339,517,1907,350,128,348,491,130,329,859,574,102,100,1937,223,2298
456,1107,109,26,393,34,101,143,81,334,572,2018,1770,266,367,482,130,312,673,589,92,56,1587,479,2241
556,1500,88,25,453,57,104,102,82,379,518,1955,219,123,349,550,128,356,388,623,92,57,954,248,2233
261,1115,89,23,393,33,107,153,84,284,702,1965,220,125,351,481,129,331,295,616,98,58,713,308,2249
263,1098,364,22,394,33,105,127,1060,311,517,1968,218,151,348,510,129,314,127,566,92,84,1442,294,2242
272,1336,92,25,391,36,102,127,83,324,516,1945,220,123,346,484,128,320,2133,618,107,99,895,237,2244
274,1105,86,23,393,33,102,110,465,787,520,1932,219,131,374,474,128,312,277,645,99,64,2414,218,3008
257,1097,87,25,390,33,102,3115,87,469,520,1931,218,123,351,477,128,307,356,577,108,114,4671,438,2480
267,1403,86,26,389,53,102,152,83,376,518,1908,219,124,349,475,128,310,1561,590,103,86,956,257,2234
632,1102,115,25,392,127,103,147,81,537,699,1943,219,123,353,483,128,320,258,939,105,69,3954,235,2245
257,1076,87,48,393,33,106,115,337,339,522,1909,220,126,350,473,127,311,290,711,108,73,895,220,2250
268,1794,88,26,392,33,102,120,82,296,516,1926,217,121,350,482,129,565,242,587,93,68,538,604,2250
273,1091,93,22,389,34,106,110,297,312,517,2218,220,123,351,471,127,401,220,751,110,62,531,208,2235
265,1270,86,23,430,37,158,5186,82,304,516,1988,218,121,361,484,128,328,815,585,3171,87,1797,273,2248
258,1107,86,23,395,35,102,177,85,460,517,1905,220,122,365,479,128,583,872,1487,103,60,531,224,2346
256,1105,90,26,391,32,102,115,82,470,699,1908,219,122,350,478,128,309,816,613,101,68,1106,273,2236
312,1112,82,25,391,40,102,162,84,346,518,1916,224,122,355,477,129,321,950,687,12269,62,2351,274,2244
265,1347,86,25,392,34,102,106,85,358,516,1947,301,122,379,487,185,340,792,711,101,70,1499,220,2240
259,1106,89,23,391,34,102,135,83,460,515,1941,218,122,351,475,129,306,725,581,93,157,897,394,2329
262,1189,116,25,391,33,102,114,82,444,515,1918,220,124,361,477,128,308,564,576,104,112,954,248,2241
260,1114,86,24,393,35,102,189,82,404,516,1967,218,123,366,487,129,326,709,565,108,86,534,322,2248
258,1120,84,23,391,63,101,132,84,421,700,3658,220,122,358,481,132,333,616,687,157,280,893,286,2248
271,1100,114,26,392,33,102,102,81,292,517,3979,220,125,347,476,129,306,840,710,105,97,1136,432,2250
261,1344,97,23,392,33,102,108,81,288,601,1981,221,123,348,474,130,314,1465,513,142,77,534,267,2248
258,1393,85,24,399,35,102,111,88,295,601,4746,217,128,404,476,128,306,404,550,115,68,895,1410,2289
263,1102,87,26,392,33,102,45113,82,293,517,12888,220,123,345,475,129,320,629,552,99,464,1114,228,2239
260,1353,108,24,390,33,102,176,83,351,516,5677,231,124,346,475,139,324,778,552,103,126,1211,220,2254
259,1223,91,23,390,33,103,111,107,311,700,5888,246,151,345,494,128,548,969,561,104,64,888,328,2336
259,1114,119,26,391,33,101,136,85,283,516,6221,220,328,736,477,128,306,1032,563,116,146,1139,304,2257
260,1112,85,24,392,817,102,174,92,600,517,7699,217,122,820,474,137,381,494,558,103,114,533,493,2486
257,1095,86,22,390,32,102,168,85,847,516,6190,218,124,818,472,139,306,1033,551,92,67,1116,267,2312
259,1097,213,27,395,33,101,126,135,388,515,9586,219,122,702,473,128,309,1108,551,99,56,531,291,2251
258,1621,84,23,394,34,104,201,111,1048,515,8438,217,151,717,471,132,372,608,594,92,135,535,243,2249
261,1123,110,24,391,33,103,155,83,824,698,6586,219,134,456,474,129,307,963,548,105,123,2845,502,2252
257,1634,210,61,411,48,110,115,119,353,516,6975,218,123,464,480,128,307,125,576,106,119,954,285,2253
267,1703,109,23,393,33,107,117,82,290,516,7635,220,122,573,482,130,305,759,549,92,70,534,246,2262
257,1383,85,24,390,33,101,114,84,301,516,14851,220,137,571,473,130,306,995,550,97,136,533,242,2261
260,1065,248,23,391,33,101,115,109,285,517,8323,219,155,458,473,128,311,803,592,92,84,4033,275,2389
262,1074,105,24,391,34,103,330,144,287,516,16856,219,128,472,474,130,305,709,545,92,82,893,234,2295
254,1067,89,38,390,32,103,149,170,280,694,174236,218,124,457,475,128,308,624,614,113,62,607,255,2254
256,1111,90,29,391,32,103,204,146,280,517,20702,220,121,472,478,128,572,627,565,121,56,943,280,2244
260,1142,107,29,391,34,106,42166,142,278,517,13008,218,121,472,473,129,304,645,592,97,84,805,395,2249
252,1113,107,36,390,35,101,160,84,286,516,10759,221,128,457,470,128,311,746,615,104,184,875,526,2270
254,1056,85,39,395,33,104,116,879,353,518,7719,219,123,463,490,129,310,113,550,119,59,581,276,2274
254,1061,1121,24,392,33,102,101,83,282,518,7715,218,126,476,482,128,553,694,546,93,64,5641,260,2260
274,1099,113,26,377,32,100,165,478,316,696,6530,243,122,491,442,124,306,427,543,95,77,588,352,2265
277,1069,113,26,364,32,102,101,337,322,517,6777,240,128,499,443,126,306,586,584,221,85,577,404,2259
324,1204,109,64,421,51,159,121,368,371,572,6979,274,154,533,449,133,334,625,616,94,74,1030,231,2379
289,1129,85,29,365,33,105,127,85,307,522,6705,247,128,507,451,132,310,672,569,182,70,557,299,2261
282,1098,87,26,364,34,105,173,83,318,517,7728,245,124,497,446,127,307,863,574,111,76,2399,242,2279
280,17181,96,23,363,34,102,139,84,310,517,6480,240,127,493,446,124,307,998,582,93,68,1018,280,2262
287,1281,120,34,364,32,103,108,82,478,695,7818,369,130,502,448,127,306,1010,572,93,68,514,237,2287
287,1719,157,38,364,32,102,135,84,308,516,18507,240,122,491,442,126,4409,603,560,91,177,512,419,2257
276,1060,247,25,365,32,103,122,82,315,518,6354,240,126,492,446,125,324,895,573,103,69,512,238,2263
281,1068,270,25,366,32,101,123,83,322,517,7761,241,122,487,445,124,620,719,567,93,64,1054,521,2247
289,1093,84,28,378,34,106,277,461,313,600,10673,243,122,493,442,130,625,1022,550,95,58,519,236,2324
256,1084,105,28,397,32,104,108,117,331,515,9569,217,121,469,474,133,715,898,547,93,59,2367,273,2259
256,1080,83,36,401,39,106,42023,84,288,699,6345,217,126,439,479,131,306,1193,547,100,63,536,231,2412
261,1138,86,25,389,33,106,183,86,309,522,7631,224,134,458,475,131,554,1602,572,129,58,809,248,2250
261,1054,108,24,393,33,104,274,83,287,518,7446,218,126,453,473,130,313,4463,611,100,56,538,262,2265
256,1110,106,26,390,38,100,189,419,310,525,7410,220,122,455,476,129,308,1346,507,93,58,534,505,2265
264,1056,106,24,390,32,104,164,310,294,517,13843,217,122,460,476,130,308,931,550,104,58,557,2192,2252
257,1087,84,27,393,32,102,161,81,280,515,15629,218,121,452,474,131,555,1509,547,95,56,4003,244,2259
260,1206,86,25,391,32,104,114,81,297,696,16309,220,150,462,480,128,555,1152,547,102,61,535,558,2262
256,1095,91,24,391,34,104,156,89,288,518,18361,220,122,571,476,138,307,837,663,114,60,707,582,2249
262,1062,109,25,392,33,102,128,964,286,516,9516,220,121,461,477,291,306,1193,551,99,56,533,294,2248
257,1167,84,28,396,33,102,151,91,347,520,6591,276,133,458,480,128,307,274,560,150,64,1127,526,2253
254,1091,106,22,395,32,102,146,84,314,517,15393,218,122,458,473,129,311,1192,555,106,59,1061,482,2256
251,1241,86,25,396,321,101,110,173,306,517,7589,218,122,466,476,129,319,704,558,109,58,536,234,2260
254,1090,107,26,392,37,107,171,272,294,694,6277,218,123,460,478,128,306,279,594,111,56,1001,301,2313
253,1174,98,24,393,233,103,202,83,394,518,6596,218,125,458,476,128,308,130,546,263,56,537,243,2255
258,1076,85,25,391,38,101,100,576,347,518,6393,219,121,470,475,129,306,121,910,98,66,1176,387,2244
259,1176,87,26,391,33,101,150,540,454,517,5075,225,123,468,16591,128,340,170,587,98,59,542,1804,2259
260,1108,241,27,392,33,105,777,86,309,517,5105,220,131,1047,474,129,304,196,618,126,59,1069,314,2256
256,1058,86,25,394,36,103,113,83,308,519,3228,219,125,504,476,129,309,247,512,125,59,1524,388,2262
268,1107,99,23,394,33,101,99,84,364,698,3597,220,124,483,479,131,310,112,617,145,57,835,964,2252
277,1091,87,24,397,470,118,98,89,294,517,1974,234,123,486,476,129,318,116,725,100,64,532,585,2255
406,1081,283,119,393,33,102,110,84,293,518,2063,220,124,487,476,129,311,359,598,92,60,536,381,2241
280,3481,85,25,394,34,111,153,85,324,518,2428,222,127,487,477,131,375,266,578,117,63,2368,240,2251
258,1079,86,23,395,33,102,148,200,365,517,2296,219,124,463,474,132,358,113,569,98,61,537,225,2244
1078,1111,89,23,401,33,442,111,85,295,519,4382,266,123,1241,1123,129,359,219,769,107,59,543,233,2254
352,1110,115,24,396,33,105,166,145,309,698,4808,221,125,493,479,131,305,195,564,104,64,891,840,2248
289,1103,85,30,540,35,107,122,85,509,517,3418,252,160,472,480,140,313,116,577,113,58,9855,641,2251
370,1113,98,25,395,269,103,114,347,288,517,2522,219,123,523,480,130,580,174,1090,107,91,1672,272,2241
260,1758,229,25,399,34,106,145,82,407,517,4792,226,133,501,475,129,477,170,555,134,139,538,786,2240
280,1067,87,23,394,33,105,149,82,300,517,2346,219,124,483,475,128,348,117,659,94,73,879,637,2236
302,1088,85,29,395,33,103,122,103,348,517,2587,221,123,500,476,133,307,193,667,110,56,2685,230,2238
296,1067,98,24,399,33,104,156,82,307,695,2675,241,123,476,498,129,309,113,614,125,64,540,403,2243
266,1081,87,27,394,33,102,115,83,313,517,2362,222,124,497,583,132,307,151,575,94,64,2374,220,2250
313,1089,86,25,394,34,102,1022,329,320,517,5077,221,154,487,485,130,307,166,568,104,64,4149,472,2249
291,1118,85,3182,395,34,102,261,90,605,516,5483,218,123,476,484,130,306,228,723,111,61,1387,291,2516
2212,2417,1484,1381,1502,1180,1078,2222,1985,1175,1064,4649,463,200,504,565,146,307,289,572,145,70,996,288,2275
527,1128,238,28,405,35,102,113,362,293,518,1999,221,122,518,479,132,323,393,568,119,74,3808,375,2243
267,1091,87,26,398,33,102,99,82,310,2722,2119,220,124,570,509,141,311,440,840,140,56,538,2079,2251
267,1107,247,24,392,33,104,99,85,338,517,2065,222,133,475,481,129,343,1147,734,107,61,534,222,2244
271,1086,85,27,396,38,102,134,87,306,517,1965,234,123,481,495,131,308,1184,556,109,56,4257,233,2244
301,1089,86,27,395,33,102,127,89,333,515,2225,228,123,461,480,132,307,2119,600,101,85,2366,310,2245
332,1219,86,23,394,32,106,232,82,391,519,2134,221,124,462,497,164,307,1914,668,106,61,542,223,2246
269,1168,88,26,393,39,105,124,89,380,518,2142,220,124,473,486,131,351,768,568,159,105,1527,351,2233
283,1088,87,25,414,33,106,153,82,326,946,1964,289,123,492,516,131,333,1104,795,112,74,2599,263,2239
260,5002,87,29,402,36,108,120,218,388,521,2038,217,125,478,515,131,396,857,603,109,80,545,536,2253
720,1093,87,103,397,33,103,581,86,497,517,4616,220,125,510,478,129,342,934,817,103,66,1570,236,2241
282,1093,86,23,401,33,104,114,98,294,518,2020,330,122,514,483,130,307,1047,585,101,63,537,632,2242
1297,2042,1237,1043,1044,782,681,2264,954,696,685,2185,230,170,505,485,145,309,1150,1053,127,59,4730,590,2236
581,1151,85,25,393,33,103,137,143,553,528,1957,218,131,466,495,130,307,2516,1219,109,1547,1508,215,2234
285,1072,87,24,396,36,104,162,88,775,699,1986,220,124,468,479,142,332,288,671,105,75,576,230,2240
619,1123,100,28,397,32,104,99,83,390,517,1907,218,132,546,484,131,310,281,560,169,84,815,239,2237
322,1079,94,28,407,32,106,113,400,370,519,1969,220,122,527,516,131,318,168,581,103,100,718,509,2242
279,1104,86,30,398,32,103,167,98,445,526,3535,243,127,525,524,134,318,277,608,121,74,1324,461,2246
835,1102,88,24,405,35,102,2208,91,309,518,2038,219,130,599,482,132,308,270,567,95,67,1154,385,2242
288,1242,86,24,395,35,105,135,626,730,519,2015,220,122,481,495,130,308,174,577,165,155,2434,876,2243
323,1123,87,25,400,34,111,116,82,600,700,2111,221,130,484,490,138,306,354,702,92,247,79203,239,2251
554,1071,87,25,392,34,105,178,83,312,518,1991,220,127,593,499,133,336,288,696,130,95,4974,613,2237
769,1113,97,27,401,37,375,98,84,317,518,1987,296,123,649,505,130,329,282,783,94,214,1064,257,2256
674,1110,92,23,403,32,102,132,87,340,517,1931,274,126,811,489,132,315,279,596,93,91,1532,290,2235
1235,1077,87,26,395,169,103,4186,83,490,557,2023,220,124,851,478,130,367,302,624,108,280,1950,226,2237
525,1100,84,26,398,34,101,134,83,386,517,2069,218,122,602,493,130,331,907,711,103,259,2391,664,2240
655,1125,85,25,396,35,106,3362,177,351,822,1912,222,330,830,486,145,330,200,614,92,78,5720,4941,2243
924,1232,111,25,399,35,106,114,87,365,524,1988,221,123,1041,476,129,312,615,557,91,96,954,286,2238
329,1076,86,36,393,34,105,133,192,504,519,1901,220,130,916,480,130,1024,358,808,96,359,1838,254,2235
277,1114,92,24,394,33,107,204,117,341,518,1963,220,124,1321,486,129,310,280,625,103,103,4860,252,2242
261,1064,261,27,407,33,102,4659,213,336,516,2144,220,123,1218,493,131,308,235,644,96,102,1333,222,2243
570,1083,85,25,397,35,104,142,86,351,520,2066,221,123,897,481,129,332,233,716,92,68,1320,494,2238
382,1226,86,24,392,33,110,133,469,297,702,1909,220,127,1109,483,129,312,241,575,102,83,1023,217,2263
281,1120,87,25,392,33,102,121,132,297,516,1898,217,121,1326,486,131,344,321,644,93,111,542,245,2235
483,1063,86,24,391,33,101,108,87,286,516,1961,220,123,1233,484,129,345,237,636,96,56,904,220,2237
1029,1068,86,24,424,36,102,119,82,291,517,1921,219,121,1207,492,128,307,256,659,93,112,5569,234,2233
262,1051,87,24,392,34,101,7188,314,384,518,2000,248,123,1095,483,131,312,374,567,93,66,810,211,2244
292,1076,204,23,392,422,102,116,89,295,516,1970,219,124,1248,480,128,306,1561,674,333,58,5834,244,2248
256,1083,87,24,389,34,102,119,87,317,700,1940,270,135,1720,483,130,327,427,606,105,80,2570,252,2245
269,1058,85,26,397,32,102,147,84,351,518,1934,239,154,1601,476,128,308,317,573,91,62,1038,229,2246
257,1074,97,23,392,33,102,112,169,394,516,1932,217,122,1385,1113,128,306,322,592,93,85,540,537,2245
256,1057,86,25,398,241,102,42138,90,410,518,2000,220,122,1346,558,128,308,256,733,102,58,534,758,2241
260,1071,84,24,393,33,102,2344,83,301,517,1964,217,121,1460,475,128,308,288,602,96,57,1476,256,2302
266,1097,85,25,390,65,103,104,82,298,516,1981,216,151,1435,475,128,312,396,578,92,59,964,224,2251
281,1084,85,23,392,34,102,155,102,331,745,1938,217,125,1606,476,128,561,529,553,96,89,1122,329,2253
316,1240,107,24,406,33,101,102,82,332,517,1910,217,122,1439,475,130,308,304,672,92,56,541,491,2247
256,1076,85,24,393,33,103,105,83,327,517,1974,218,151,1243,479,130,307,381,600,99,98,536,506,2236
276,1074,189,22,391,33,103,112,531,293,517,2085,217,124,1236,475,162,330,419,583,102,63,1150,281,2311
254,1646,88,25,395,34,105,7197,84,289,517,1965,217,123,1337,480,130,322,496,604,93,64,547,328,2250
281,1092,85,24,391,34,104,1651,82,286,516,1928,218,121,1212,473,480,315,590,565,91,58,967,272,2248
258,1106,84,25,390,32,102,102,330,289,749,2259,1018,126,1285,478,129,307,140,688,91,60,556,248,2247
2420,3270,2346,2254,2163,1918,1807,225,1634,1505,1665,2878,240,792,1152,1055,128,577,437,579,91,70,571,228,2290
264,1074,87,26,395,33,102,115,83,364,522,1918,219,123,1187,474,129,306,370,562,95,101,5570,250,2253
284,1069,86,85,393,34,102,236,318,322,516,1998,217,122,1022,479,128,306,150,565,92,75,1395,212,2251
268,1063,88,24,391,32,102,4197,84,304,517,4706,217,121,868,478,128,404,171,556,91,68,907,234,2250
281,1062,88,28,390,33,102,108,83,304,519,6096,218,121,642,485,128,307,234,556,98,90,547,313,2252
261,1097,226,27,407,35,101,183,87,322,745,5631,219,127,628,501,127,356,801,555,99,171,2364,337,2240
267,1055,85,24,390,33,103,42044,83,285,517,6154,220,122,483,480,129,311,2149,708,92,136,1142,285,2239
304,1079,87,24,393,33,102,99,88,298,516,6335,218,123,464,482,128,312,518,659,95,108,2375,1206,2847
483,1089,87,48,393,34,104,175,173,295,516,3484,217,123,465,512,133,307,957,553,91,70,2714,280,2259
257,1252,108,25,390,35,101,7292,82,337,516,2806,217,124,467,479,128,307,846,545,92,80,541,204,2240
260,1082,85,26,391,33,106,147,82,341,517,3634,226,121,459,486,128,305,501,563,95,59,814,236,2254
258,1078,87,25,392,36,102,134,96,316,2764,5481,220,128,474,479,130,307,342,738,99,67,1157,248,2243
257,1060,87,25,391,34,102,112,98,338,517,1916,216,159,523,475,141,314,602,545,96,111,1303,270,2258
265,1183,108,25,392,34,102,124,84,315,516,5392,217,137,488,480,142,307,1280,563,91,220,1042,576,2243
253,1071,83,23,391,32,101,117,105,285,517,6283,221,457,536,478,130,308,462,636,93,103,539,250,2250
264,1062,860,34,395,35,107,2244,86,309,519,5729,218,3417,465,478,129,309,486,577,92,781,903,324,2258
254,1057,106,22,392,36,104,113,84,339,516,5034,237,505,465,476,128,305,219,564,93,199,1047,255,2255
255,1061,83,26,399,32,101,162,237,291,696,5821,218,440,454,482,129,308,585,586,101,484,535,291,2256
257,1098,281,25,392,32,108,214,141,279,517,3380,217,345,455,490,130,305,116,568,100,127,543,486,2263
253,1080,84,25,391,32,101,184,157,339,516,4994,217,125,468,474,131,308,433,573,95,89,537,769,2448
262,1097,83,24,392,33,103,114,184,287,516,4199,217,125,477,474,129,308,176,553,92,64,3825,447,2296
306,1117,87,27,389,33,102,2269,82,288,516,6201,216,124,579,475,130,309,444,561,94,97,902,279,2263
255,1711,110,25,391,32,101,163,174,291,517,6282,216,356,458,487,128,307,681,556,99,93,533,966,2252
253,1080,95,24,408,32,106,129,160,289,695,6358,232,144,518,476,133,309,546,545,94,115,1197,245,2256
254,1121,107,43,390,33,104,161,164,288,530,3899,220,164,471,483,129,306,193,570,94,56,990,249,2266
263,1368,84,57,390,46,104,146,84,301,532,4437,219,124,490,477,130,338,139,545,93,121,2370,277,2259
255,1123,287,23,392,33,103,190,235,304,516,2469,216,130,466,476,131,305,577,549,103,89,539,274,2248
260,1055,107,35,391,33,101,2223,86,281,516,2211,220,160,484,476,128,493,169,566,102,70,900,367,2255
294,5495,88,25,392,33,110,115,871,297,515,2515,219,125,458,474,129,307,651,584,103,60,1329,525,2247
257,1109,95,22,390,32,101,146,87,314,695,3516,219,125,813,474,130,323,675,554,103,59,903,266,2258
261,1218,87,23,403,32,102,285,594,296,516,2521,217,128,466,472,129,306,633,546,103,59,594,261,2255
341,1058,86,24,389,627,101,112,82,289,516,2022,219,154,458,472,136,304,779,750,102,68,549,271,2252
257,1097,107,23,392,33,101,155,292,296,520,3682,217,133,465,473,136,305,744,572,121,62,762,559,2378
261,1065,380,38,391,33,102,2229,356,288,516,4780,217,130,466,477,130,305,531,585,103,55,1140,1631,2251
256,1155,221,41,391,34,102,216,96,290,517,5351,217,129,458,478,140,331,176,563,102,62,2450,243,2251
